# file: s2.43200-64799.May.31.22.10.18.prettyPlan.csv May.31.22.10.18
# Spacecraft with id sat2
# Epoch [JDUT1] is 2458853.0625
# Step size [s] is 1.0
TP,mode,L-band,P-band,L-band GPs,P-band GPs,reward
467,obs,,P.49,,[1164814 1164815 1164816 1164817 1164818],0.10331
468,obs,,P.49,,[1163892 1163893 1163894 1163895 1163896],0.10443
469,obs,,P.49,,[1162976 1162977 1162978 1162979 1162980],0.10253
470,obs,,P.49,,[1162055 1162056 1162057 1162058 1162059],0.10217
471,obs,,P.49,,[1161142 1161143 1161144 1161145 1161146],0.10287
472,obs,,P.49,,[1160237 1160238 1160239 1160240],0.08166
473,obs,,P.49,,[1159335 1160236],0.04075
474,obs,,P.49,,[1159331 1159332 1159333 1159334],0.08218
475,obs,,P.49,,[1158424 1158425 1158426 1158427 1158428],0.10211
476,obs,,P.49,,[1157508 1157509 1157510 1157511 1157512],0.1025
477,obs,,P.49,,[1156587 1156588 1156589 1156590 1156591],0.10303
478,obs,,P.49,,[1155667 1155668 1155669 1155670 1155671],0.10252
479,obs,,P.49,,[1154744 1154745 1154746 1154747 1154748],0.10242
480,obs,,P.49,,[1153839 1153840 1153841 1153842 1153843],0.10236
481,obs,,P.49,,[1152932 1152933 1152934 1152935],0.082
482,obs,,P.49,,[1152023 1152931],0.04109
483,obs,,P.49,,[1152019 1152020 1152021 1152022],0.08227
484,obs,,P.49,,[1151107 1151108 1151109 1151110],0.08277
485,obs,,P.49,,[1150191 1150192 1150193 1150194],0.08224
486,obs,,P.49,,[1149255 1149256 1149257 1149258],0.08375
487,obs,,P.49,,[1148315 1148316 1148317 1148318 1148319],0.10338
488,obs,,P.49,,[1147377 1147378 1147379 1147380 1147381],0.10313
489,obs,,P.49,,[1146436 1146437 1146438 1146439 1146440],0.1028
490,obs,,P.49,,[1145491 1145492],0.04097
491,obs,,P.49,,[1145488 1145489 1145490],0.06124
492,obs,,P.49,,[1144543 1144544 1144545 1144546 1144547],0.1021
493,obs,,P.49,,[1143594 1143595 1143596 1143597 1143598],0.10213
494,obs,,P.49,,[1142641 1142642 1142643 1142644 1142645],0.10279
495,obs,,P.49,,[1141690 1141691 1141692 1141693 1141694],0.10292
496,obs,,P.49,,[1140740 1140741 1140742 1140743 1140744],0.10378
497,obs,,P.49,,[1139792 1139793 1139794 1139795 1139796],0.10253
498,obs,,P.49,,[1138832 1138833 1138834 1138835 1138836],0.10331
499,obs,,P.49,,[1137864 1137865],0.041
500,obs,,P.49,,[1137861 1137862 1137863],0.06205
501,obs,,P.49,,[1136888 1136889 1136890 1136891 1136892],0.10266
502,obs,,P.49,,[1135915 1135916 1135917 1135918 1135919],0.10328
503,obs,,P.49,,[1134934 1134935 1134936 1134937 1134938],0.10236
504,obs,,P.49,,[1133950 1133951 1133952 1133953 1133954],0.10232
505,obs,,P.49,,[1132965 1132966 1132967 1132968 1132969],0.1033
506,obs,,P.49,,[1131972 1131973 1131974 1131975 1131976],0.10331
507,obs,,P.49,,[1130984 1130985 1130986],0.06262
508,obs,,P.49,,[1130983],0.02066
509,obs,,P.49,,[1129991 1129992 1129993 1129994],0.08177
510,obs,,P.49,,[1128995 1128996 1128997 1128998 1128999],0.10305
511,obs,,P.49,,[1128000 1128001 1128002 1128003 1128004],0.10223
512,obs,,P.49,,[1127002 1127003 1127004 1127005 1127006],0.10213
513,obs,,P.49,,[1126001 1126002 1126003 1126004 1126005],0.1021
514,obs,,P.49,,[1124999 1125000 1125001 1125002 1125003],0.10236
515,obs,,P.49,,[1123997 1123998 1123999 1124000],0.08245
516,obs,,P.49,,[1122993 1122994 1123996],0.06163
517,obs,,P.49,,[1122990 1122991 1122992],0.06162
518,obs,,P.49,,[1121974 1121975 1121976 1121977 1121978],0.1022
519,obs,,P.49,,[1120959 1120960 1120961 1120962 1120963],0.10278
520,obs,,P.49,,[1119956 1119957 1119958 1119959 1119960],0.10225
521,obs,,P.49,,[1118947 1118948 1118949 1118950 1118951],0.10265
522,obs,,P.49,,[1117947 1117948 1117949 1117950 1117951],0.10391
523,obs,,P.49,,[1116954 1116955 1116956 1116957 1116958],0.10388
524,obs,,P.49,,[1115960 1115961 1115962],0.06354
525,obs,,P.49,,[1114977 1115958 1115959],0.0616
526,obs,,P.49,,[1114973 1114974 1114975 1114976],0.08191
527,obs,,P.49,,[1113983 1113984 1113985 1113986 1113987],0.10247
528,obs,,P.49,,[1112990 1112991 1112992 1112993 1112994],0.10196
529,obs,,P.49,,[1111994 1111995 1111996 1111997 1111998],0.10266
530,obs,,P.49,,[1110995 1110996 1110997 1110998],0.0821
531,obs,,P.49,,[1110004 1110005 1110006 1110007],0.08168
532,obs,,P.49,,[1109019 1109020 1109021],0.06116
533,obs,,P.49,,[1108036 1109017 1109018],0.0613
534,obs,,P.49,,[1108032 1108033 1108034 1108035],0.0824
535,obs,,P.49,,[1107044 1107045 1107046 1107047 1107048],0.10346
536,obs,,P.49,,[1106059 1106060 1106061 1106062 1106063],0.10349
537,obs,,P.49,,[1105081 1105082 1105083 1105084 1105085],0.10316
538,obs,,P.49,,[1104103 1104104 1104105 1104106 1104107],0.10341
539,obs,,P.49,,[1103131 1103132 1103133 1103134 1103135],0.10403
540,obs,,P.49,,[1102159 1102160 1102161 1102162 1102163],0.1064
541,obs,,P.49,,[1101200 1101201],0.04157
542,obs,,P.49,,[1101197 1101198 1101199],0.06187
543,obs,,P.49,,[1100232 1100233 1100234 1100235 1100236],0.10239
544,obs,,P.49,,[1099255 1099256 1099257 1099258 1099259],0.10434
545,obs,,P.49,,[1098273 1098274 1098275 1098276 1098277],0.10636
546,obs,,P.49,,[1097301 1097302 1097303 1097304 1097305],0.3646
547,obs,,P.49,,[1096328 1096329 1096330 1096331 1096332],0.36738
548,obs,,P.49,,[1095335 1095336 1095337 1095338 1095339],0.45292
549,obs,,P.49,,[1094341 1094342 1094343],0.32456
550,obs,,P.49,,[1094339 1094340],0.216
551,obs,,P.49,,[1093352 1093353 1093354 1093355 1093356],0.54505
552,obs,,P.49,,[1092360 1092361],0.22073
553,obs,,P.49,,[1091376],0.11264
554,obs,,P.49.E,,,
555,slew,,,,,
556,slew,,,,,
557,slew,,,,,
558,slew,,,,,
559,slew,,,,,
560,slew,,,,,
561,slew,,,,,
562,slew,,,,,
563,slew,,,,,
564,slew,,,,,
565,slew,,,,,
566,slew,,,,,
567,slew,,,,,
568,slew,,,,,
569,slew,,,,,
570,slew,,,,,
571,slew,,,,,
572,slew,,,,,
573,idle,,,,,
574,idle,,,,,
575,idle,,,,,
576,idle,,,,,
577,idle,,,,,
578,idle,,,,,
579,obs,,P.31.S,,,
580,obs,,P.31,,[1070700],0.09228
581,obs,,P.31,,[1070701 1070702],0.11798
582,obs,,P.31,,[1069805 1069806 1069807 1069808 1069809],0.09741
583,obs,,P.31,,[1068903 1068904 1068905 1068906 1068907],0.09161
584,obs,,P.31,,[1067998 1067999 1068000 1068001 1068002],0.16263
585,obs,,P.31,,[1067105 1067106 1067107 1067108 1067109],0.18328
586,obs,,P.31,,[1066212 1066213],0.15615
587,obs,,P.31.E,,,
588,slew,,,,,
589,slew,,,,,
590,slew,,,,,
591,slew,,,,,
592,slew,,,,,
593,slew,,,,,
594,slew,,,,,
595,slew,,,,,
596,slew,,,,,
597,slew,,,,,
598,slew,,,,,
599,slew,,,,,
600,slew,,,,,
601,slew,,,,,
602,slew,,,,,
603,slew,,,,,
604,obs,,P.38.S,,,
605,obs,,P.38,,[1049505 1049506 1049507 1049508 1049509],0.53338
606,obs,,P.38,,[1048515 1048516],0.21328
607,obs,L.38.S,P.38,,[1048518],0.10642
608,obs,L.38,,[1047530 1047531 1047532],,0.11095
609,obs,L.38.E,P.38,,[1046551],0.10653
610,obs,,P.38,,[1045566 1045567 1045568],0.31955
611,obs,,P.38,,[1044579 1044580 1044581],0.31938
612,obs,,P.38,,[1043592 1043593 1043594],0.31936
613,obs,L.38.S,P.38,,[1042600 1042601],0.2132
614,obs,L.38,P.38.E,[1041604],,0.00414
615,obs,L.38,,[1041605],,0.00389
616,obs,L.38,P.38.S,[1040607 1040608],,0.00806
617,obs,,P.38,,[1039600],0.10681
618,obs,L.38,P.38.E,[1038591 1038592],,0.00784
619,obs,L.38,P.38.S,[1037574 1037575],,0.00804
620,obs,,P.38,,[1036552],0.10642
621,obs,L.38,,[1035526 1035527],,0.00791
622,obs,L.38.E,P.38,,[1035528],0.10686
623,obs,,P.38,,[1034501 1034502 1034503],0.31927
624,obs,L.38.S,P.38,,[1033477 1033478 1033479],0.31982
625,obs,L.38,P.38.E,[1032449 1032450 1032451],,0.11022
626,obs,L.38,,[1031419 1031420 1031421],,0.01201
627,obs,L.38,P.38.S,[1030394 1030395 1030396],,0.01216
628,obs,L.38.E,P.38,,[1029373],0.1065
629,obs,,,,,
630,obs,,P.38,,[1028346 1028348],0.21314
631,obs,,P.38,,[1027315 1027316 1027317 1027318],0.42608
632,obs,,P.38,,[1026284 1026285 1026286 1026287 1026288],0.53341
633,obs,,P.38,,[1025236 1025237 1025238 1025239 1025240],0.533
634,obs,,P.38,,[1024183 1024184 1024185 1024186 1024187],0.53329
635,obs,,P.38,,[1023121 1023122 1023123 1023124 1023125],0.53281
636,obs,,P.38,,[1022068 1022069],0.21286
637,obs,,P.38,,[1022070 1022071 1022072],0.31963
638,obs,,P.38,,[1021015 1021016 1021017 1021018 1021019],0.53251
639,obs,,P.38,,[1019966 1019967 1019968 1019969 1019970],0.53256
640,obs,,P.38,,[1018912 1018913 1018914 1018915 1018916],0.53284
